ASCL1	SHH	NM_004316
POU3F2	SHH	NM_005604
STMN4	SHH	NM_030795
C1QL4	SHH	NM_001008223
NNAT	SHH	NM_005386
GNG3	SHH	NM_012202
TUBB2B	SHH	NM_178012
FABP7	SHH	NM_001446
HES5	SHH	NM_001010926
PTPRZ1	SHH	NM_002851
MT3	SHH	NM_005954
C1orf61	SHH	NM_006365
ENPP2	TYR	NM_001130863
CLIC6	TYR	NM_001317009
DDIT4L	TYR	NM_145244
CLDN1	TYR	NM_021101
OCA2	TYR	NM_001300984
CCK	TYR	NM_000729
TPD52L1	TYR	NM_001300994
CA2	TYR	NM_000067
OTX2	TYR	NM_021728
SLC13A4	TYR	NM_012450
CTSL2	TYR	NM_001201575
TTR	TYR	NM_000371
PCP4	TYR	NM_006198
BAMBI	TYR	NM_012342
MSX1	TYR	NM_002448
LUM	MYC	NM_002345
H19	MYC	NR_131224
COL1A2	MYC	NM_000089
