Nanostring_ID_fixed,Huang_ID,Torchia_2016_GEP_Subgroup
RBTC277,RBTC277,Group1
RBTC48,RBTC48,Group1
RBTC54.RNA,RBTC54,Group1
RBTC60.FF,RBTC60,Group1
RBTC235,RBTC235,Group1
RBTC247,RBTC247,Group1
RBTC248,RBTC248,Group1
RBTC250.FF,RBTC250,Group1
RBTC256.FF,RBTC256,Group1
RBTC275,RBTC275,Group1
RBTC278.600ng,RBTC278,Group1
RBTC290,RBTC290,Group1
RBTC299.300ng,RBTC299,Group1
RBTC302,RBTC302,Group1
RBTC304,RBTC304,Group1
RBTC306,RBTC306,Group1
RBTC433,RBTC433,Group1
RBTC434_1,RBTC434_1,Group1
RBTC434_2,RBTC434_2,Group1
RBTC438,RBTC438,Group1
RBTC442,RBTC442,Group1
RBTC446.600ng,RBTC446,Group1
RBTC64,RBTC64,Group2A
RBTC83,RBTC83,Group2A
RBTC245,RBTC245,Group2A
RBTC298.FF,RBTC298,Group2A
RBTC303,RBTC303,Group2A
RBTC1621.FF,RBTC1621,Group2A
RBTC308,RBTC308,Group2A
RBTC327,RBTC327,Group2A
RBTC330.600ng,RBTC330,Group2A
RBTC331,RBTC331,Group2A
RBTC332,RBTC332,Group2A
RBTC342,RBTC342,Group2A
RBTC343,RBTC343,Group2A
RBTC348,RBTC348,Group2A
RBTC384.600ng,RBTC384,Group2A
RBTC419,RBTC419,Group2A
RBTC422,RBTC422,Group2A
RBTC424.600ng,RBTC424,Group2A
RBTC427,RBTC427,Group2A
RBTC447,RBTC447,Group2A
RBTC199.FF,RBTC199,Group2B
RBTC91,RBTC91,Group2B
RBTC186,RBTC186,Group2B
RBTC267.300ng,RBTC267,Group2B
RBTC288,RBTC288,Group2B
RBTC296,RBTC296,Group2B
RBTC297,RBTC297,Group2B
RBTC300,RBTC300,Group2B
RBTC301,RBTC301,Group2B
RBTC336,RBTC336,Group2B
RBTC347,RBTC347,Group2B
RBTC403,RBTC403,Group2B
RBTC415,RBTC415,Group2B
RBTC425,RBTC425,Group2B
RBTC432.FF,RBTC432,Group2B
RBTC67.FF,RBTC67,Group1
RBTC439.RNA,RBTC439,Group2A
RBTC132,RBTC132,Group1
RBTC56.RNA,RBTC56,Group2A
RBTC271.RNA,RBTC271,Group2A
RBTC272.FF,RBTC272,Group2A
RBTC274.RNA,RBTC274,Group2A
RBTC346,RBTC346,Group1
RBTC427.FFPE,RBTC427,Group2A
RBTC68.FF,RBTC68,Group2B
RBTC273.RNA,RBTC273,Group2B
RBTC287.RNA,RBTC287,Group2B
RBTC295.RNA,RBTC295,Group2B
RBTC428,RBTC428,Group2B
NA,RBTC251,Group2A
NA,RBTC232,Group1
NA,RBTC435,Group1
NA,RBTC233,Group1
NA,RBTC281,Group1
NA,RBTC34,Group2B
NA,RBTC249,Group2B
NA,RBTC284,Group2B
NA,RBTC324,Group2B
NA,RBTC410,Group2B
NA,RBTC416,Group2B
NA,RBTC436,Group2B
NA,RBTC445,Group1
NA,RBTC421,Group2B
NA,RBTC283,Group1
NA,RBTC61,Group1
NA,RBTC443,Group1
NA,RBTC319,Group1
NA,RBTC412,Group1
NA,RBTC279,Group1
